source,target,weight,betweenness_source,betweenness_target
Atiba Hutchinson,David Wallace Wotherspoon,4,0.0068,0.0
Atiba Hutchinson,Ismael Koné,5,0.0068,0.0082
Atiba Hutchinson,Jonathan David,3,0.0068,0.0024
Atiba Hutchinson,Jonathan Osorio,1,0.0068,0.0043
Atiba Hutchinson,Kamal Miller,4,0.0068,0.012
Atiba Hutchinson,Richie Laryea,1,0.0068,0.0012
Atiba Hutchinson,Steven de Sousa Vitoria,3,0.0068,0.0109
Atiba Hutchinson,Tajon Buchanan,3,0.0068,0.0161
Cyle Larin,Alistair Johnston,1,0.0004,0.0142
Cyle Larin,Alphonso Davies,1,0.0004,0.0087
Cyle Larin,David Junior Hoilett,1,0.0004,0.01
Cyle Larin,Jonathan Osorio,2,0.0004,0.0043
Cyle Larin,Tajon Buchanan,4,0.0004,0.0161
David Junior Hoilett,Alphonso Davies,3,0.01,0.0087
David Junior Hoilett,Atiba Hutchinson,1,0.01,0.0068
David Junior Hoilett,Cyle Larin,3,0.01,0.0004
David Junior Hoilett,Ismael Koné,1,0.01,0.0082
David Junior Hoilett,Jonathan Osorio,5,0.01,0.0043
David Junior Hoilett,Kamal Miller,1,0.01,0.012
David Junior Hoilett,Mark Anthony Kaye,5,0.01,0.0021
David Junior Hoilett,Richie Laryea,1,0.01,0.0012
David Junior Hoilett,Steven de Sousa Vitoria,2,0.01,0.0109
David Junior Hoilett,Tajon Buchanan,1,0.01,0.0161
Ismael Koné,Alistair Johnston,2,0.0082,0.0142
Ismael Koné,Alphonso Davies,1,0.0082,0.0087
Ismael Koné,Atiba Hutchinson,5,0.0082,0.0068
Ismael Koné,David Junior Hoilett,3,0.0082,0.01
Ismael Koné,Jonathan David,2,0.0082,0.0024
Ismael Koné,Jonathan Osorio,1,0.0082,0.0043
Ismael Koné,Kamal Miller,5,0.0082,0.012
Ismael Koné,Milan Borjan,1,0.0082,0.0038
Ismael Koné,Steven de Sousa Vitoria,2,0.0082,0.0109
Ismael Koné,Tajon Buchanan,5,0.0082,0.0161
Jonathan David,Alistair Johnston,1,0.0024,0.0142
Jonathan David,Alphonso Davies,1,0.0024,0.0087
Jonathan David,Atiba Hutchinson,3,0.0024,0.0068
Jonathan David,David Junior Hoilett,1,0.0024,0.01
Jonathan David,Ismael Koné,1,0.0024,0.0082
Jonathan David,Kamal Miller,1,0.0024,0.012
Jonathan David,Richie Laryea,3,0.0024,0.0012
Jonathan David,Steven de Sousa Vitoria,1,0.0024,0.0109
Jonathan Osorio,Alistair Johnston,3,0.0043,0.0142
Jonathan Osorio,Alphonso Davies,2,0.0043,0.0087
Jonathan Osorio,Atiba Hutchinson,1,0.0043,0.0068
Jonathan Osorio,Cyle Larin,1,0.0043,0.0004
Jonathan Osorio,David Junior Hoilett,5,0.0043,0.01
Jonathan Osorio,Kamal Miller,7,0.0043,0.012
Jonathan Osorio,Mark Anthony Kaye,2,0.0043,0.0021
Jonathan Osorio,Sam Adekugbe,3,0.0043,0.001
Jonathan Osorio,Steven de Sousa Vitoria,2,0.0043,0.0109
Jonathan Osorio,Tajon Buchanan,2,0.0043,0.0161
Kamal Miller,Alphonso Davies,6,0.012,0.0087
Kamal Miller,Atiba Hutchinson,3,0.012,0.0068
Kamal Miller,Cyle Larin,3,0.012,0.0004
Kamal Miller,David Junior Hoilett,4,0.012,0.01
Kamal Miller,David Wallace Wotherspoon,3,0.012,0.0
Kamal Miller,Ismael Koné,8,0.012,0.0082
Kamal Miller,Jonathan Osorio,3,0.012,0.0043
Kamal Miller,Mark Anthony Kaye,15,0.012,0.0021
Kamal Miller,Milan Borjan,1,0.012,0.0038
Kamal Miller,Sam Adekugbe,13,0.012,0.001
Kamal Miller,Steven de Sousa Vitoria,18,0.012,0.0109
Kamal Miller,Tajon Buchanan,12,0.012,0.0161
Mark Anthony Kaye,Alistair Johnston,9,0.0021,0.0142
Mark Anthony Kaye,Alphonso Davies,5,0.0021,0.0087
Mark Anthony Kaye,Cyle Larin,1,0.0021,0.0004
Mark Anthony Kaye,David Junior Hoilett,2,0.0021,0.01
Mark Anthony Kaye,Jonathan Osorio,3,0.0021,0.0043
Mark Anthony Kaye,Kamal Miller,17,0.0021,0.012
Mark Anthony Kaye,Milan Borjan,2,0.0021,0.0038
Mark Anthony Kaye,Sam Adekugbe,6,0.0021,0.001
Mark Anthony Kaye,Steven de Sousa Vitoria,10,0.0021,0.0109
Mark Anthony Kaye,Tajon Buchanan,2,0.0021,0.0161
Milan Borjan,Alistair Johnston,1,0.0038,0.0142
Milan Borjan,Atiba Hutchinson,3,0.0038,0.0068
Milan Borjan,David Junior Hoilett,1,0.0038,0.01
Milan Borjan,Kamal Miller,6,0.0038,0.012
Milan Borjan,Richie Laryea,2,0.0038,0.0012
Milan Borjan,Sam Adekugbe,2,0.0038,0.001
Milan Borjan,Steven de Sousa Vitoria,6,0.0038,0.0109
Milan Borjan,Tajon Buchanan,1,0.0038,0.0161
Richie Laryea,Alistair Johnston,3,0.0012,0.0142
Richie Laryea,David Junior Hoilett,1,0.0012,0.01
Richie Laryea,Jonathan David,1,0.0012,0.0024
Richie Laryea,Milan Borjan,1,0.0012,0.0038
Steven de Sousa Vitoria,Alistair Johnston,16,0.0109,0.0142
Steven de Sousa Vitoria,Alphonso Davies,4,0.0109,0.0087
Steven de Sousa Vitoria,Atiba Hutchinson,3,0.0109,0.0068
Steven de Sousa Vitoria,Cyle Larin,1,0.0109,0.0004
Steven de Sousa Vitoria,David Junior Hoilett,1,0.0109,0.01
Steven de Sousa Vitoria,David Wallace Wotherspoon,1,0.0109,0.0
Steven de Sousa Vitoria,Ismael Koné,4,0.0109,0.0082
Steven de Sousa Vitoria,Jonathan David,2,0.0109,0.0024
Steven de Sousa Vitoria,Jonathan Osorio,2,0.0109,0.0043
Steven de Sousa Vitoria,Kamal Miller,20,0.0109,0.012
Steven de Sousa Vitoria,Mark Anthony Kaye,12,0.0109,0.0021
Steven de Sousa Vitoria,Milan Borjan,3,0.0109,0.0038
Steven de Sousa Vitoria,Richie Laryea,1,0.0109,0.0012
Steven de Sousa Vitoria,Sam Adekugbe,3,0.0109,0.001
Steven de Sousa Vitoria,Tajon Buchanan,1,0.0109,0.0161
Tajon Buchanan,Alistair Johnston,1,0.0161,0.0142
Tajon Buchanan,Alphonso Davies,5,0.0161,0.0087
Tajon Buchanan,Atiba Hutchinson,1,0.0161,0.0068
Tajon Buchanan,David Junior Hoilett,2,0.0161,0.01
Tajon Buchanan,Ismael Koné,1,0.0161,0.0082
Tajon Buchanan,Jonathan David,2,0.0161,0.0024
Tajon Buchanan,Jonathan Osorio,1,0.0161,0.0043
Tajon Buchanan,Kamal Miller,3,0.0161,0.012
